Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,Class
"14.053,00","497,05","216,19","84,16","0,92","14.416,00","0,81",Cammeo
"11.549,00","440,25","179,12","84,50","0,88","11.961,00","0,60",Cammeo
"16.490,00","520,32","212,01","101,68","0,88","16.873,00","0,63",Cammeo
"14.011,00","475,87","197,73","91,16","0,89","14.315,00","0,78",Cammeo
"15.809,00","518,46","221,07","92,23","0,91","16.079,00","0,81",Cammeo
"12.473,00","470,34","202,44","79,02","0,92","12.806,00","0,53",Cammeo
"15.319,00","506,02","208,23","94,84","0,89","15.813,00","0,57",Cammeo
"15.498,00","512,70","215,81","92,62","0,90","15.914,00","0,58",Cammeo
"13.902,00","479,23","201,11","89,13","0,90","14.202,00","0,70",Cammeo
"14.837,00","499,83","210,07","91,27","0,90","15.263,00","0,68",Cammeo
"15.113,00","493,74","206,57","94,19","0,89","15.374,00","0,66",Cammeo
"16.091,00","508,83","209,18","99,23","0,88","16.431,00","0,67",Cammeo
"15.543,00","507,39","211,65","94,57","0,89","15.976,00","0,65",Cammeo
"13.683,00","492,98","213,91","83,12","0,92","14.070,00","0,76",Cammeo
"12.161,00","445,05","182,33","86,27","0,88","12.428,00","0,60",Cammeo
"13.711,00","483,21","203,88","86,63","0,91","14.097,00","0,56",Cammeo
"12.518,00","473,38","203,92","80,01","0,92","12.778,00","0,68",Cammeo
"13.302,00","482,69","209,40","81,75","0,92","13.827,00","0,60",Cammeo
"16.418,00","534,99","230,16","91,79","0,92","16.736,00","0,65",Cammeo
"14.166,00","491,61","209,04","87,52","0,91","14.386,00","0,60",Cammeo
"14.988,00","499,36","212,26","90,99","0,90","15.245,00","0,59",Cammeo
"14.223,00","480,95","201,39","90,39","0,89","14.441,00","0,64",Cammeo
"12.518,00","460,72","195,65","82,36","0,91","12.813,00","0,69",Cammeo
"12.854,00","474,14","202,20","81,75","0,91","13.242,00","0,64",Cammeo
"15.705,00","498,96","208,54","96,64","0,89","16.009,00","0,77",Cammeo
"14.451,00","487,22","201,29","92,74","0,89","14.776,00","0,65",Cammeo
"14.064,00","486,89","204,16","88,52","0,90","14.388,00","0,65",Cammeo
"13.524,00","487,47","208,15","83,61","0,92","13.830,00","0,64",Cammeo
"13.677,00","494,64","219,60","79,63","0,93","13.936,00","0,53",Cammeo
"12.921,00","476,75","206,22","80,40","0,92","13.218,00","0,55",Cammeo
"13.251,00","460,53","190,92","89,00","0,88","13.528,00","0,75",Cammeo
"14.601,00","505,25","215,93","86,76","0,92","14.991,00","0,67",Cammeo
"15.141,00","505,42","209,59","93,09","0,90","15.559,00","0,57",Cammeo
"12.599,00","455,28","188,02","86,37","0,89","12.897,00","0,62",Cammeo
"14.709,00","515,85","222,72","85,43","0,92","14.941,00","0,52",Cammeo
"12.047,00","455,61","195,67","80,27","0,91","12.339,00","0,54",Cammeo
"13.158,00","471,00","201,02","84,50","0,91","13.462,00","0,62",Cammeo
"15.191,00","501,89","211,72","92,79","0,90","15.492,00","0,57",Cammeo
"13.837,00","483,59","204,31","87,29","0,90","14.139,00","0,57",Cammeo
"13.645,00","484,33","205,54","85,92","0,91","13.972,00","0,55",Cammeo
"16.199,00","511,23","210,00","99,42","0,88","16.637,00","0,74",Cammeo
"13.169,00","474,84","201,38","84,49","0,91","13.505,00","0,55",Cammeo
"14.022,00","483,02","204,48","88,57","0,90","14.358,00","0,70",Cammeo
"12.471,00","445,37","184,99","86,86","0,88","12.688,00","0,67",Cammeo
"12.706,00","463,45","194,18","84,88","0,90","13.011,00","0,80",Cammeo
"14.918,00","500,27","210,42","91,21","0,90","15.185,00","0,64",Cammeo
"14.641,00","505,00","211,58","90,03","0,90","15.034,00","0,63",Cammeo
"15.216,00","500,37","208,23","94,30","0,89","15.558,00","0,57",Cammeo
"12.349,00","467,67","202,69","78,67","0,92","12.572,00","0,55",Cammeo
"13.584,00","478,06","203,84","85,43","0,91","13.877,00","0,68",Cammeo
"14.138,00","490,83","206,18","89,37","0,90","14.523,00","0,76",Cammeo
"11.956,00","438,90","184,64","83,22","0,89","12.121,00","0,58",Cammeo
"10.604,00","425,93","179,15","76,35","0,90","10.830,00","0,57",Cammeo
"14.592,00","494,44","212,68","88,29","0,91","14.838,00","0,75",Cammeo
"12.770,00","458,30","196,63","83,20","0,91","12.949,00","0,60",Cammeo
"15.143,00","504,14","207,73","94,15","0,89","15.628,00","0,57",Cammeo
"12.917,00","473,23","200,33","83,20","0,91","13.302,00","0,67",Cammeo
"15.714,00","501,15","205,01","99,28","0,87","16.074,00","0,73",Cammeo
"14.655,00","491,71","200,15","94,78","0,88","15.181,00","0,60",Cammeo
"15.639,00","499,14","207,98","96,29","0,89","15.895,00","0,71",Cammeo
"15.166,00","502,17","214,14","91,39","0,90","15.475,00","0,79",Cammeo
"13.742,00","493,85","212,61","84,89","0,92","14.272,00","0,58",Cammeo
"13.983,00","483,67","201,49","89,06","0,90","14.320,00","0,57",Cammeo
"11.386,00","450,12","195,46","75,84","0,92","11.612,00","0,51",Cammeo
"15.636,00","513,23","214,38","93,98","0,90","15.913,00","0,57",Cammeo
"13.507,00","468,24","197,51","87,93","0,90","13.735,00","0,58",Cammeo
"13.186,00","477,33","201,60","84,67","0,91","13.516,00","0,54",Cammeo
"14.013,00","458,91","181,95","99,44","0,84","14.323,00","0,79",Cammeo
"16.053,00","523,84","220,91","93,89","0,91","16.496,00","0,75",Cammeo
"13.557,00","483,91","206,20","84,39","0,91","13.845,00","0,55",Cammeo
"13.104,00","476,99","202,43","83,61","0,91","13.464,00","0,54",Cammeo
"15.167,00","514,23","220,55","89,00","0,91","15.456,00","0,63",Cammeo
"14.159,00","489,44","209,13","87,11","0,91","14.410,00","0,55",Cammeo
"14.436,00","485,83","204,47","90,75","0,90","14.864,00","0,61",Cammeo
"15.320,00","511,93","218,62","91,17","0,91","15.740,00","0,55",Cammeo
"15.341,00","504,46","210,87","93,99","0,90","15.628,00","0,77",Cammeo
"14.399,00","484,08","200,17","92,85","0,89","14.849,00","0,60",Cammeo
"16.835,00","522,53","216,27","100,43","0,89","17.404,00","0,74",Cammeo
"13.655,00","471,52","193,20","91,56","0,88","14.053,00","0,71",Cammeo
"14.276,00","492,84","208,88","88,12","0,91","14.706,00","0,58",Cammeo
"12.199,00","454,40","191,91","82,14","0,90","12.555,00","0,75",Cammeo
"12.223,00","445,44","185,03","85,37","0,89","12.460,00","0,80",Cammeo
"13.884,00","491,62","207,65","86,34","0,91","14.232,00","0,54",Cammeo
"15.833,00","530,34","225,22","91,51","0,91","16.337,00","0,59",Cammeo
"12.861,00","471,92","193,25","86,46","0,89","13.330,00","0,63",Cammeo
"15.080,00","500,01","209,59","92,80","0,90","15.614,00","0,73",Cammeo
"16.898,00","526,94","217,87","100,35","0,89","17.274,00","0,62",Cammeo
"16.254,00","532,78","223,55","94,12","0,91","16.680,00","0,55",Cammeo
"14.274,00","488,83","203,57","89,93","0,90","14.529,00","0,57",Cammeo
"13.965,00","478,58","203,28","88,11","0,90","14.135,00","0,81",Cammeo
"13.860,00","484,77","200,78","88,84","0,90","14.238,00","0,66",Cammeo
"13.568,00","482,46","201,88","87,07","0,90","14.068,00","0,64",Cammeo
"14.546,00","494,17","212,31","87,87","0,91","14.826,00","0,63",Cammeo
"16.559,00","524,13","223,64","94,95","0,91","16.961,00","0,78",Cammeo
"15.308,00","513,99","219,47","90,02","0,91","15.720,00","0,76",Cammeo
"14.741,00","497,23","212,46","89,45","0,91","15.036,00","0,55",Cammeo
"13.397,00","474,86","200,55","86,40","0,90","13.762,00","0,69",Cammeo
"15.559,00","514,28","221,12","90,46","0,91","15.903,00","0,78",Cammeo
"13.665,00","482,08","208,96","84,62","0,91","13.998,00","0,60",Cammeo
"15.390,00","511,51","214,47","92,46","0,90","15.788,00","0,77",Cammeo
"14.017,00","471,81","194,64","92,36","0,88","14.314,00","0,71",Cammeo
"14.209,00","496,27","208,82","87,76","0,91","14.667,00","0,57",Cammeo
"14.786,00","505,39","214,22","89,43","0,91","15.177,00","0,73",Cammeo
"15.540,00","516,32","217,39","92,47","0,91","16.084,00","0,63",Cammeo
"17.442,00","539,78","228,59","98,19","0,90","17.698,00","0,58",Cammeo
"17.082,00","548,45","230,19","95,76","0,91","17.576,00","0,59",Cammeo
"14.195,00","488,46","203,51","89,96","0,90","14.555,00","0,72",Cammeo
"15.172,00","504,16","213,22","91,67","0,90","15.477,00","0,62",Cammeo
"14.434,00","486,67","201,27","92,73","0,89","14.754,00","0,63",Cammeo
"12.863,00","457,19","195,70","84,50","0,90","13.023,00","0,81",Cammeo
"14.019,00","475,76","194,52","92,82","0,88","14.308,00","0,59",Cammeo
"15.888,00","518,55","218,19","94,06","0,90","16.245,00","0,56",Cammeo
"13.000,00","460,37","195,10","85,72","0,90","13.231,00","0,58",Cammeo
"14.806,00","509,38","214,14","89,69","0,91","15.594,00","0,71",Cammeo
"14.713,00","493,21","206,92","91,65","0,90","15.162,00","0,59",Cammeo
"13.722,00","482,34","202,28","87,75","0,90","14.189,00","0,61",Cammeo
"15.713,00","518,45","218,77","92,43","0,91","16.038,00","0,58",Cammeo
"12.765,00","460,35","196,39","83,90","0,90","13.139,00","0,57",Cammeo
"13.487,00","473,72","197,12","87,78","0,90","13.773,00","0,75",Cammeo
"15.252,00","501,33","207,52","94,27","0,89","15.595,00","0,59",Cammeo
"13.684,00","464,57","189,53","92,91","0,87","13.928,00","0,61",Cammeo
"14.709,00","489,53","204,92","91,87","0,89","15.041,00","0,64",Cammeo
"14.331,00","502,03","212,58","87,36","0,91","14.618,00","0,54",Cammeo
"15.475,00","511,80","220,48","90,21","0,91","15.734,00","0,83",Cammeo
"14.368,00","491,56","211,30","87,21","0,91","14.596,00","0,62",Cammeo
"13.670,00","486,81","207,74","84,58","0,91","13.923,00","0,58",Cammeo
"14.232,00","505,89","214,10","86,41","0,91","14.702,00","0,53",Cammeo
"14.441,00","495,37","210,02","89,20","0,91","14.805,00","0,54",Cammeo
"14.093,00","488,60","204,39","89,16","0,90","14.463,00","0,58",Cammeo
"15.121,00","503,49","212,94","91,33","0,90","15.470,00","0,78",Cammeo
"15.569,00","528,79","221,58","90,98","0,91","16.286,00","0,57",Cammeo
"15.684,00","513,89","221,95","90,83","0,91","15.944,00","0,78",Cammeo
"14.622,00","481,62","200,05","94,38","0,88","14.845,00","0,61",Cammeo
"14.850,00","509,27","215,96","89,13","0,91","15.372,00","0,80",Cammeo
"14.017,00","491,10","212,43","84,69","0,92","14.287,00","0,76",Cammeo
"11.513,00","438,63","189,72","77,69","0,91","11.736,00","0,68",Cammeo
"14.793,00","501,30","211,60","90,11","0,90","15.049,00","0,66",Cammeo
"14.466,00","497,84","204,41","91,21","0,89","14.885,00","0,66",Cammeo
"12.162,00","454,78","191,12","82,32","0,90","12.493,00","0,75",Cammeo
"17.180,00","547,22","238,44","93,01","0,92","17.517,00","0,57",Cammeo
"13.831,00","483,62","202,88","88,29","0,90","14.270,00","0,59",Cammeo
"13.925,00","478,29","196,57","91,43","0,89","14.323,00","0,66",Cammeo
"14.045,00","482,74","200,03","90,71","0,89","14.305,00","0,57",Cammeo
"16.588,00","531,40","221,89","96,65","0,90","16.854,00","0,58",Cammeo
"14.966,00","499,64","205,47","93,38","0,89","15.387,00","0,58",Cammeo
"16.011,00","525,07","222,95","92,38","0,91","16.298,00","0,56",Cammeo
"14.050,00","481,25","191,82","95,06","0,87","14.600,00","0,61",Cammeo
"14.173,00","480,68","201,94","90,24","0,89","14.519,00","0,60",Cammeo
"14.106,00","487,25","209,57","86,56","0,91","14.348,00","0,54",Cammeo
"15.967,00","511,61","211,69","96,98","0,89","16.329,00","0,59",Cammeo
"11.667,00","447,52","186,67","80,84","0,90","12.039,00","0,67",Cammeo
"14.890,00","502,54","206,23","93,46","0,89","15.349,00","0,59",Cammeo
"13.279,00","474,24","200,54","85,01","0,91","13.757,00","0,73",Cammeo
"13.942,00","502,03","214,34","83,72","0,92","14.273,00","0,64",Cammeo
"13.545,00","482,74","208,80","83,31","0,92","13.759,00","0,53",Cammeo
"14.126,00","498,42","216,89","83,81","0,92","14.410,00","0,76",Cammeo
"14.530,00","487,10","201,81","93,06","0,89","14.926,00","0,69",Cammeo
"13.708,00","486,40","204,62","86,34","0,91","14.361,00","0,58",Cammeo
"14.252,00","493,11","202,65","91,31","0,89","14.627,00","0,56",Cammeo
"14.571,00","489,73","202,39","92,94","0,89","14.884,00","0,58",Cammeo
"16.194,00","528,12","226,87","91,64","0,91","16.524,00","0,55",Cammeo
"14.356,00","492,02","209,38","88,59","0,91","14.652,00","0,58",Cammeo
"15.691,00","511,85","213,61","94,92","0,90","16.124,00","0,66",Cammeo
"14.105,00","496,23","209,28","86,94","0,91","14.567,00","0,60",Cammeo
"14.013,00","478,28","194,78","92,95","0,88","14.374,00","0,60",Cammeo
"15.009,00","502,49","211,09","91,76","0,90","15.370,00","0,62",Cammeo
"13.954,00","484,53","203,68","88,21","0,90","14.288,00","0,75",Cammeo
"16.226,00","517,68","217,08","95,94","0,90","16.466,00","0,58",Cammeo
"14.505,00","492,68","205,41","90,76","0,90","14.834,00","0,58",Cammeo
"15.281,00","509,52","212,70","92,99","0,90","15.689,00","0,64",Cammeo
"15.009,00","507,42","217,13","88,92","0,91","15.387,00","0,60",Cammeo
"14.652,00","485,55","201,55","93,45","0,89","14.883,00","0,59",Cammeo
"15.330,00","501,70","209,68","93,87","0,89","15.617,00","0,58",Cammeo
"14.407,00","482,80","202,83","91,19","0,89","14.671,00","0,74",Cammeo
"15.741,00","523,78","227,50","89,12","0,92","15.999,00","0,56",Cammeo
"14.589,00","495,93","210,28","89,42","0,91","14.853,00","0,67",Cammeo
"16.376,00","531,00","227,94","92,67","0,91","16.667,00","0,74",Cammeo
"14.294,00","484,19","205,13","89,00","0,90","14.542,00","0,70",Cammeo
"14.541,00","492,79","204,26","92,47","0,89","14.893,00","0,76",Cammeo
"16.734,00","531,51","220,70","97,84","0,90","17.242,00","0,66",Cammeo
"13.434,00","483,36","204,57","84,16","0,91","13.773,00","0,72",Cammeo
"14.878,00","506,02","212,18","90,44","0,90","15.237,00","0,58",Cammeo
"14.504,00","502,51","212,25","87,93","0,91","14.895,00","0,55",Cammeo
"14.723,00","491,05","204,18","93,07","0,89","15.021,00","0,58",Cammeo
"15.830,00","520,51","219,45","92,66","0,91","16.121,00","0,60",Cammeo
"14.549,00","485,49","199,76","93,65","0,88","14.846,00","0,62",Cammeo
"14.700,00","506,46","215,43","87,76","0,91","15.050,00","0,71",Cammeo
"14.842,00","505,73","214,95","88,66","0,91","15.313,00","0,54",Cammeo
"14.400,00","486,90","200,14","93,25","0,88","14.714,00","0,62",Cammeo
"12.892,00","473,53","199,94","83,24","0,91","13.193,00","0,56",Cammeo
"16.588,00","519,56","218,39","97,67","0,89","16.852,00","0,64",Cammeo
"15.676,00","512,34","214,77","93,72","0,90","15.961,00","0,78",Cammeo
"16.706,00","533,63","228,16","94,21","0,91","17.037,00","0,64",Cammeo
"14.301,00","497,77","209,88","87,30","0,91","14.591,00","0,60",Cammeo
"15.070,00","504,05","210,03","92,37","0,90","15.400,00","0,65",Cammeo
"15.381,00","503,58","211,88","93,31","0,90","15.749,00","0,74",Cammeo
"15.252,00","502,59","211,63","92,20","0,90","15.495,00","0,57",Cammeo
"14.887,00","493,05","199,16","96,69","0,87","15.347,00","0,62",Cammeo
"14.493,00","506,84","219,00","84,92","0,92","14.804,00","0,54",Cammeo
"14.897,00","491,18","205,72","92,88","0,89","15.137,00","0,59",Cammeo
"14.690,00","506,86","214,16","88,88","0,91","15.064,00","0,58",Cammeo
"13.950,00","476,34","193,64","92,94","0,88","14.280,00","0,72",Cammeo
"14.421,00","507,80","213,89","86,88","0,91","14.881,00","0,65",Cammeo
"14.517,00","495,61","211,80","88,03","0,91","14.815,00","0,69",Cammeo
"14.944,00","500,24","209,56","91,53","0,90","15.255,00","0,63",Cammeo
"14.570,00","469,98","185,40","100,89","0,84","14.895,00","0,65",Cammeo
"11.838,00","440,26","181,32","83,84","0,89","12.165,00","0,60",Cammeo
"15.223,00","514,91","220,37","89,44","0,91","15.492,00","0,55",Cammeo
"13.694,00","464,56","191,33","91,71","0,88","13.918,00","0,71",Cammeo
"17.948,00","526,92","214,09","107,54","0,86","18.322,00","0,67",Cammeo
"14.471,00","503,67","207,93","90,16","0,90","14.894,00","0,55",Cammeo
"16.654,00","519,04","217,25","99,00","0,89","16.976,00","0,76",Cammeo
"14.990,00","507,79","213,49","90,18","0,91","15.318,00","0,57",Cammeo
"16.934,00","533,09","225,30","96,45","0,90","17.323,00","0,75",Cammeo
"16.030,00","512,85","210,25","97,63","0,89","16.306,00","0,60",Cammeo
"15.035,00","486,65","198,22","97,86","0,87","15.279,00","0,62",Cammeo
"16.008,00","521,01","222,85","92,13","0,91","16.315,00","0,61",Cammeo
"14.362,00","504,58","211,29","88,27","0,91","14.724,00","0,54",Cammeo
"15.815,00","506,29","210,50","96,50","0,89","16.112,00","0,80",Cammeo
"14.131,00","490,70","206,93","88,28","0,90","14.519,00","0,75",Cammeo
"12.619,00","470,61","202,76","80,18","0,92","12.937,00","0,61",Cammeo
"13.792,00","475,78","196,71","90,35","0,89","14.183,00","0,77",Cammeo
"14.573,00","493,78","209,36","89,44","0,90","14.847,00","0,65",Cammeo
"14.345,00","491,02","207,22","88,91","0,90","14.650,00","0,59",Cammeo
"13.166,00","461,94","185,60","91,29","0,87","13.562,00","0,66",Cammeo
"11.794,00","456,32","194,04","78,80","0,91","12.116,00","0,65",Cammeo
"13.782,00","471,13","194,44","90,98","0,88","14.000,00","0,60",Cammeo
"14.533,00","487,20","196,81","95,84","0,87","14.873,00","0,65",Cammeo
"12.557,00","443,22","175,60","92,34","0,85","12.860,00","0,62",Cammeo
"16.431,00","509,39","208,05","101,96","0,87","16.875,00","0,73",Cammeo
"11.940,00","443,97","187,33","82,18","0,90","12.184,00","0,64",Cammeo
"15.856,00","509,02","210,16","97,76","0,89","16.160,00","0,76",Cammeo
"15.636,00","504,18","212,14","94,49","0,90","15.927,00","0,74",Cammeo
"14.787,00","492,31","209,68","90,47","0,90","15.066,00","0,80",Cammeo
"16.412,00","508,37","210,57","99,99","0,88","16.759,00","0,73",Cammeo
"15.137,00","494,61","206,46","93,99","0,89","15.400,00","0,76",Cammeo
"16.199,00","514,16","217,63","95,52","0,90","16.475,00","0,71",Cammeo
"15.375,00","515,42","216,00","91,62","0,91","15.780,00","0,60",Cammeo
"11.447,00","447,35","190,39","79,04","0,91","11.753,00","0,54",Cammeo
"16.094,00","504,13","208,37","99,03","0,88","16.325,00","0,65",Cammeo
"11.784,00","438,12","181,76","83,74","0,89","11.981,00","0,80",Cammeo
"15.517,00","481,38","194,64","102,06","0,85","15.718,00","0,65",Cammeo
"15.065,00","506,82","212,44","91,37","0,90","15.516,00","0,72",Cammeo
"15.529,00","509,02","207,05","96,99","0,88","15.993,00","0,60",Cammeo
"13.584,00","478,54","204,62","84,81","0,91","13.817,00","0,68",Cammeo
"12.618,00","457,90","193,82","83,48","0,90","12.851,00","0,58",Cammeo
"13.253,00","473,44","198,61","85,92","0,90","13.535,00","0,69",Cammeo
"15.907,00","527,21","224,25","91,44","0,91","16.206,00","0,55",Cammeo
"13.084,00","473,77","195,84","86,38","0,90","13.453,00","0,59",Cammeo
"15.367,00","501,91","210,06","94,48","0,89","15.644,00","0,79",Cammeo
"13.319,00","468,23","192,93","89,34","0,89","13.694,00","0,70",Cammeo
"15.715,00","511,25","210,91","96,00","0,89","16.096,00","0,58",Cammeo
"12.745,00","453,04","187,01","87,67","0,88","13.040,00","0,61",Cammeo
"14.400,00","481,51","193,78","96,52","0,87","14.876,00","0,68",Cammeo
"14.329,00","486,28","206,57","89,21","0,90","14.588,00","0,81",Cammeo
"14.818,00","487,02","197,83","97,39","0,87","15.261,00","0,63",Cammeo
"13.391,00","486,12","213,11","80,99","0,92","13.661,00","0,52",Cammeo
"14.500,00","495,11","214,29","86,66","0,91","14.712,00","0,58",Cammeo
"15.815,00","504,22","214,65","94,99","0,90","16.059,00","0,81",Cammeo
"12.089,00","439,49","183,58","84,69","0,89","12.302,00","0,81",Cammeo
"14.746,00","504,31","220,34","85,93","0,92","14.995,00","0,80",Cammeo
"13.569,00","490,54","209,85","83,41","0,92","14.061,00","0,53",Cammeo
"15.198,00","499,63","210,63","92,95","0,90","15.521,00","0,75",Cammeo
"12.720,00","472,23","201,64","82,23","0,91","13.352,00","0,75",Cammeo
"14.229,00","485,12","206,60","88,72","0,90","14.455,00","0,75",Cammeo
"13.567,00","481,40","202,02","86,42","0,90","13.976,00","0,75",Cammeo
"13.431,00","482,53","212,45","81,19","0,92","13.786,00","0,78",Cammeo
"12.985,00","466,14","196,67","84,69","0,90","13.221,00","0,59",Cammeo
"15.725,00","515,26","221,66","91,23","0,91","16.027,00","0,60",Cammeo
"15.486,00","509,14","211,11","94,82","0,89","15.921,00","0,69",Cammeo
"14.674,00","497,10","208,44","91,09","0,90","15.049,00","0,68",Cammeo
"13.286,00","480,07","202,55","85,12","0,91","13.633,00","0,55",Cammeo
"15.398,00","513,02","214,05","93,68","0,90","15.936,00","0,70",Cammeo
"14.145,00","486,61","209,35","86,79","0,91","14.370,00","0,77",Cammeo
"16.412,00","515,11","208,69","101,94","0,87","16.857,00","0,77",Cammeo
"15.094,00","506,51","217,94","89,10","0,91","15.346,00","0,67",Cammeo
"15.360,00","515,30","220,92","89,96","0,91","15.662,00","0,64",Cammeo
"13.567,00","473,58","195,35","89,24","0,89","14.020,00","0,65",Cammeo
"13.413,00","475,39","196,86","87,79","0,90","13.917,00","0,57",Cammeo
"15.236,00","497,28","209,16","94,07","0,89","15.563,00","0,76",Cammeo
"15.028,00","498,83","205,54","94,58","0,89","15.382,00","0,58",Cammeo
"15.249,00","506,05","212,09","92,49","0,90","15.582,00","0,78",Cammeo
"14.363,00","499,17","210,25","88,11","0,91","14.669,00","0,61",Cammeo
"14.988,00","491,71","205,06","94,86","0,89","15.270,00","0,58",Cammeo
"14.318,00","477,49","195,02","94,59","0,87","14.585,00","0,76",Cammeo
"14.456,00","497,99","210,53","88,88","0,91","14.865,00","0,68",Cammeo
"15.857,00","515,32","219,97","93,15","0,91","16.109,00","0,70",Cammeo
"15.037,00","501,47","208,91","92,30","0,90","15.452,00","0,58",Cammeo
